Player,tgt_per_game,tgt_pct_per_game
A.J. Derby 2017,1.66665,0.0433
A.J. Derby 2018,3.9722,0.10895
A.J. Derby 2019,1.25,0.0461
A.J. Green 2014,11.125,0.3015
A.J. Green 2015,8.9231,0.2929
A.J. Green 2016,8.25,0.267
A.J. Green 2017,10.0,0.3043
A.J. Green 2018,8.9375,0.2899
A.J. Green 2019,8.5556,0.2465
A.J. Jenkins 2014,1.0625,0.033
A.J. Jenkins 2015,1.6667,0.0538
Aaron Burbridge 2017,1.0,0.0327
Aaron Dobson 2014,6.0,0.1753
Aaron Dobson 2015,1.25,0.044
Aaron Dobson 2016,2.625,0.0559
Aaron Green 2017,0.0,0.0
Aaron Jones 2018,1.5,0.047
Aaron Jones 2019,2.9167,0.0881
Aaron Ripkowski 2016,0.0667,0.0014
Aaron Ripkowski 2017,0.625,0.0168
Aaron Ripkowski 2018,0.625,0.0194
Ace Sanders 2014,5.8,0.1571
Ace Sanders 2015,0.6667,0.0182
Adam Humphries 2016,3.0769,0.0906
Adam Humphries 2017,5.5333,0.1495
Adam Humphries 2018,5.1875,0.1359
Adam Humphries 2019,6.5,0.171
Adam Shaheen 2018,1.0769,0.0355
Adam Shaheen 2019,1.2,0.0381
Adam Thielen 2015,0.875,0.0262
Adam Thielen 2016,1.125,0.036
Adam Thielen 2017,5.75,0.1562
Adam Thielen 2018,8.9375,0.2743
Adam Thielen 2019,9.6875,0.257
Adrian Peterson 2014,2.8571,0.0877
Adrian Peterson 2015,3.0,0.125
Adrian Peterson 2016,2.25,0.0797
Adrian Peterson 2017,2.0,0.0604
Adrian Peterson 2018,1.70835,0.05115
Adrian Peterson 2019,1.625,0.0527
Adrien Robinson 2014,0.0,0.0
Adrien Robinson 2015,0.4375,0.0125
Ahmad Bradshaw 2014,2.6667,0.0871
Ahmad Bradshaw 2015,4.7,0.1113
Ahmad Bradshaw 2016,2.3333,0.0624
Akeem Hunt 2016,1.4286,0.045
Akeem Hunt 2017,0.5,0.0179
Akeem Hunt 2018,0.4667,0.0135
Alan Cross 2018,0.75,0.0211
Alan Cross 2019,0.3571,0.0094
Albert Wilson 2015,2.3333,0.0672
Albert Wilson 2016,4.0714,0.1512
Albert Wilson 2017,3.1875,0.0906
Albert Wilson 2018,4.7692,0.1452
Albert Wilson 2019,5.0,0.1701
Aldrick Robinson 2014,2.875,0.076
Aldrick Robinson 2015,0.6,0.0172
Aldrick Robinson 2017,2.1333,0.0699
Aldrick Robinson 2018,3.0,0.0732
Aldrick Robinson 2019,2.5,0.0731
Alex Armah 2018,0.0,0.0
Alex Armah 2019,0.0625,0.0021
Alex Collins 2017,1.1,0.0294
Alex Collins 2018,2.4,0.0678
Alex Collins 2019,2.1,0.0487
Alex Ellis 2019,0.0,0.0
Alex Erickson 2017,0.5,0.0138
Alex Erickson 2018,1.0,0.0353
Alex Erickson 2019,1.8125,0.0628
Alex Green 2014,0.1667,0.0049
Alex Smith 2014,0.375,0.0099
Alex Smith 2015,0.0,0.0
Alex Smith 2016,0.6667,0.0201
Alfonso Smith 2014,0.8125,0.0234
Alfonso Smith 2015,0.6667,0.0267
Alfred Blue 2015,1.125,0.0318
Alfred Blue 2016,1.0,0.0284
Alfred Blue 2017,1.1429,0.0318
Alfred Blue 2018,0.8182,0.0297
Alfred Blue 2019,1.6875,0.0474
Alfred Morris 2014,0.75,0.0196
Alfred Morris 2015,1.625,0.0467
Alfred Morris 2016,0.8125,0.0247
Alfred Morris 2017,0.4286,0.015
Alfred Morris 2018,0.6923,0.0256
Alfred Morris 2019,1.1667,0.0319
Allen Hurns 2015,6.0625,0.1751
Allen Hurns 2016,7.0,0.1845
Allen Hurns 2017,6.9091,0.1769
Allen Hurns 2018,5.6,0.1827
Allen Hurns 2019,2.25,0.0739
Allen Lazard 2019,1.0,0.0278
Allen Reisner 2014,1.8,0.0475
Allen Robinson 2015,8.1,0.2341
Allen Robinson 2016,9.4375,0.2553
Allen Robinson 2017,9.375,0.2436
Allen Robinson 2018,1.0,0.0476
Allen Robinson 2019,7.2308,0.2263
Alshon Jeffery 2014,9.3125,0.2639
Alshon Jeffery 2015,9.0625,0.2374
Alshon Jeffery 2016,10.4444,0.3107
Alshon Jeffery 2017,7.8333,0.2309
Alshon Jeffery 2018,7.5,0.2198
Alshon Jeffery 2019,7.0769,0.1985
Alvin Kamara 2018,6.3125,0.1921
Alvin Kamara 2019,7.0,0.2092
Amara Darboh 2018,0.8125,0.0269
Amari Cooper 2016,8.4667,0.2263
Amari Cooper 2017,8.1875,0.2208
Amari Cooper 2018,6.8571,0.1939
Amari Cooper 2019,6.88885,0.18845
Ameer Abdullah 2016,2.375,0.064
Ameer Abdullah 2017,2.5,0.0676
Ameer Abdullah 2018,2.5,0.0718
Ameer Abdullah 2019,0.47619999999999996,0.015349999999999999
Andre Brown 2014,3.625,0.1168
Andre Caldwell 2014,1.8125,0.0434
Andre Caldwell 2015,0.9375,0.0242
Andre Caldwell 2016,1.5714,0.0392
Andre Ellington 2014,3.8,0.1153
Andre Ellington 2015,5.3333,0.1584
Andre Ellington 2016,2.4,0.0737
Andre Ellington 2017,1.2667,0.0309
Andre Ellington 2018,4.25,0.09985
Andre Holmes 2014,7.0,0.2042
Andre Holmes 2015,6.1875,0.163
Andre Holmes 2016,2.0625,0.0664
Andre Holmes 2017,1.5625,0.044
Andre Holmes 2018,1.6429,0.0554
Andre Holmes 2019,1.125,0.03705
Andre Johnson 2014,11.3125,0.2872
Andre Johnson 2015,9.7333,0.3295
Andre Johnson 2016,4.8125,0.1287
Andre Johnson 2017,2.875,0.0876
Andre Roberts 2014,4.75,0.1354
Andre Roberts 2015,4.5625,0.1363
Andre Roberts 2016,2.3333,0.0614
Andre Roberts 2017,1.5625,0.0437
Andre Roberts 2018,0.25,0.0077
Andre Roberts 2019,1.125,0.0356
Andre Williams 2015,2.3125,0.0604
Andre Williams 2016,0.1875,0.0052
Andre Williams 2017,2.0,0.0541
Andre Williams 2018,0.0,0.0
Andrew Hawkins 2014,2.25,0.0687
Andrew Hawkins 2015,7.4667,0.2351
Andrew Hawkins 2016,5.375,0.149
Andrew Hawkins 2017,3.25,0.0913
Andrew Quarless 2014,3.3125,0.1036
Andrew Quarless 2015,2.875,0.0864
Andrew Quarless 2016,1.0,0.0299
Andrew Quarless 2017,,
Andrew Turzilli 2016,0.6667,0.0171
Andy Janovich 2017,0.6364,0.0205
Andy Janovich 2018,0.375,0.01
Andy Janovich 2019,0.625,0.0203
Andy Jones 2018,0.0,0.0
Andy Jones 2019,3.4286,0.1077
Anquan Boldin 2014,8.0625,0.3123
Anquan Boldin 2015,8.1875,0.277
Anquan Boldin 2016,7.9286,0.2452
Anquan Boldin 2017,5.9375,0.1668
Anthony Dixon 2014,0.1875,0.0062
Anthony Dixon 2015,0.5625,0.0163
Anthony Dixon 2016,0.4375,0.0178
Anthony Fasano 2014,3.7778,0.108
Anthony Fasano 2015,2.4667,0.0777
Anthony Fasano 2016,2.625,0.0755
Anthony Fasano 2017,0.875,0.0309
Anthony Fasano 2018,1.0,0.0259
Anthony Firkser 2019,2.0,0.0844
Anthony McCoy 2016,0.0,0.0
Anthony Miller 2019,3.6,0.1163
Anthony Sherman 2014,1.5,0.0421
Anthony Sherman 2015,0.875,0.031
Anthony Sherman 2016,0.3125,0.012
Anthony Sherman 2017,0.375,0.0138
Anthony Sherman 2018,0.5,0.0152
Anthony Sherman 2019,0.5625,0.0178
Antone Smith 2014,0.2,0.0044
Antone Smith 2015,1.5,0.0367
Antone Smith 2016,0.0,0.0
Antone Smith 2017,3.0,0.0831
Antonio Andrews 2015,0.5,0.0167
Antonio Andrews 2016,2.0714,0.0613
Antonio Andrews 2017,0.0,0.0
Antonio Brown 2014,10.375,0.2988
Antonio Brown 2015,11.3125,0.3092
Antonio Brown 2016,12.0625,0.3381
Antonio Brown 2017,10.2667,0.2766
Antonio Brown 2018,11.5714,0.3097
Antonio Brown 2019,11.2667,0.2685
Antonio Callaway 2019,5.0625,0.142
Antonio Gates 2014,7.0625,0.2094
Antonio Gates 2015,6.125,0.1711
Antonio Gates 2016,8.0,0.194
Antonio Gates 2017,6.6429,0.1855
Antonio Gates 2018,3.25,0.0884
Antonio Gates 2019,2.875,0.0879
Antony Auclair 2018,0.4,0.0123
Antony Auclair 2019,0.5,0.0121
ArDarius Stewart 2018,0.8667,0.0255
Arian Foster 2014,4.375,0.1038
Arian Foster 2015,4.5385,0.161
Arian Foster 2016,7.0,0.1603
Arian Foster 2017,2.5,0.0919
Armanti Edwards 2014,0.75,0.0199
Armond Smith 2014,0.0,0.0
Arrelious Benn 2016,,
Arrelious Benn 2017,0.6667,0.0168
Arrelious Benn 2018,0.2222,0.0094
Asante Cleveland 2016,0.25,0.0061
Asante Cleveland 2017,0.0,0.0
Auden Tate 2019,3.0,0.089
Austin Carr 2019,1.0,0.0335
Austin Collie 2014,1.5714,0.0331
Austin Ekeler 2018,2.1875,0.0628
Austin Ekeler 2019,3.7857,0.1213
Austin Hooper 2017,1.9286,0.0596
Austin Hooper 2018,4.0625,0.1265
Austin Hooper 2019,5.5,0.1433
Austin Pettis 2014,3.9375,0.1135
Austin Pettis 2015,3.6,0.0916
Austin Seferian-Jenkins 2015,4.2222,0.1124
Austin Seferian-Jenkins 2016,5.5714,0.1693
Austin Seferian-Jenkins 2017,1.9643,0.053250000000000006
Austin Seferian-Jenkins 2018,5.6923,0.1898
Austin Seferian-Jenkins 2019,3.8,0.1022
Austin Traylor 2018,1.3333,0.037
B.J. Daniels 2016,0.16665,0.0062
Bear Pascoe 2014,1.25,0.0385
Bear Pascoe 2015,0.125,0.0037
Bear Pascoe 2016,0.0,0.0
Beau Brinkley 2016,0.0,0.0
Beau Brinkley 2017,0.0,0.0
Beau Brinkley 2018,0.0,0.0
Beau Brinkley 2019,0.0,0.0
Ben Braunecker 2017,0.4615,0.0111
Ben Braunecker 2018,0.0,0.0
Ben Braunecker 2019,0.3333,0.0107
Ben Edwards 2016,1.0,0.0294
Ben Edwards 2017,,
Ben Hartsock 2014,0.0,0.0
Ben Koyack 2017,1.8462,0.0482
Ben Koyack 2018,0.4375,0.0121
Ben Koyack 2019,0.0,0.0
Ben Obomanu 2014,0.3333,0.0098
Ben Tate 2014,3.5,0.0916
Ben Tate 2015,0.75,0.0229
Ben Watson 2014,2.0,0.0521
Ben Watson 2015,1.9375,0.0454
Ben Watson 2016,6.875,0.165
Ben Watson 2017,,
Ben Watson 2018,4.9375,0.1362
Ben Watson 2019,2.875,0.0905
BenJarvus Green-Ellis 2014,0.5,0.0152
Bennie Fowler 2016,1.5625,0.0427
Bennie Fowler 2017,1.8462,0.0476
Bennie Fowler 2018,3.5,0.098
Bennie Fowler 2019,2.7,0.0734
Benny Cunningham 2014,0.7143,0.0232
Benny Cunningham 2015,3.3125,0.1087
Benny Cunningham 2016,2.25,0.0792
Benny Cunningham 2017,1.9091,0.056
Benny Cunningham 2018,1.8571,0.0614
Benny Cunningham 2019,0.1333,0.0038
Bernard Pierce 2014,1.5625,0.0406
Bernard Pierce 2015,0.4615,0.0166
Bernard Pierce 2016,0.7143,0.0203
Bernard Reedy 2018,0.1111,0.00345
Bernard Scott 2014,1.0,0.0223
Bilal Powell 2014,3.5625,0.1204
Bilal Powell 2015,1.0,0.043
Bilal Powell 2016,5.7273,0.1452
Bilal Powell 2017,4.7333,0.1316
Bilal Powell 2018,2.2,0.0693
Bilal Powell 2019,2.5714,0.0779
Billy Bajema 2014,0.3333,0.01
Bishop Sankey 2015,1.5,0.047
Bishop Sankey 2016,1.7692,0.0578
Blake Annen 2017,,
Blake Bell 2016,1.7857,0.0476
Blake Bell 2017,0.75,0.0241
Blake Bell 2018,0.3077,0.0082
Blake Bell 2019,1.1,0.0364
Blake Jarwin 2018,0.0,0.0
Blake Jarwin 2019,2.25,0.062
Bobby Rainey 2014,1.08335,0.03915
Bobby Rainey 2015,3.0,0.0894
Bobby Rainey 2016,0.1875,0.007
Bobby Rainey 2017,1.7857,0.0444
Bobby Rainey 2018,1.75,0.0394
Bobo Wilson 2018,0.3333,0.0123
Bobo Wilson 2019,1.0,0.0241
Boston Scott 2019,0.0,0.0
Brad Smelley 2014,0.0,0.0
Brad Smith 2014,0.3333,0.0114
Brad Smith 2015,0.1538,0.0044
Bradie Ewing 2014,1.0,0.0258
Bradley Marquez 2017,0.5,0.0152
Bradley Marquez 2018,0.0,0.0
Bradley Marquez 2019,0.0,0.0
Bralon Addison 2017,1.0,0.0526
Branden Oliver 2015,3.2143,0.0895
Branden Oliver 2016,1.875,0.0366
Branden Oliver 2017,,
Branden Oliver 2018,1.375,0.0365
Brandin Cooks 2015,6.9,0.1695
Brandin Cooks 2016,8.0625,0.1979
Brandin Cooks 2017,7.3125,0.1763
Brandin Cooks 2018,7.125,0.1957
Brandin Cooks 2019,7.25,0.2142
Brandon Bolden 2014,2.4167,0.0721
Brandon Bolden 2015,0.375,0.009
Brandon Bolden 2016,2.0,0.0546
Brandon Bolden 2017,0.2857,0.0107
Brandon Bolden 2018,0.25,0.0064
Brandon Bolden 2019,0.1875,0.0084
Brandon Bostick 2014,1.2727,0.0326
Brandon Bostick 2015,0.3077,0.0112
Brandon Bostick 2017,0.7857,0.0253
Brandon Burks 2017,0.0,0.0
Brandon Coleman 2016,3.0625,0.0764
Brandon Coleman 2017,2.375,0.055
Brandon Coleman 2018,2.3125,0.0688
Brandon Gibson 2014,6.1429,0.1696
Brandon Gibson 2015,3.6429,0.0965
Brandon Jacobs 2014,1.0,0.0271
Brandon LaFell 2014,5.3125,0.1788
Brandon LaFell 2015,7.4375,0.1938
Brandon LaFell 2016,6.7273,0.1747
Brandon LaFell 2017,6.6875,0.2058
Brandon LaFell 2018,5.5625,0.1814
Brandon LaFell 2019,2.6667,0.0941
Brandon Lloyd 2015,2.5,0.0826
Brandon Marshall 2014,10.25,0.2928
Brandon Marshall 2015,8.1538,0.2115
Brandon Marshall 2016,10.8125,0.2938
Brandon Marshall 2017,8.7857,0.257
Brandon Marshall 2018,6.6,0.1566
Brandon Marshall 2019,3.2857,0.1154
Brandon Myers 2014,4.75,0.1349
Brandon Myers 2015,2.2857,0.0793
Brandon Myers 2016,1.5455,0.0501
Brandon Myers 2017,0.875,0.0255
Brandon Pettigrew 2014,4.5,0.1152
Brandon Pettigrew 2015,1.0714,0.0298
Brandon Pettigrew 2016,1.875,0.0431
Brandon Pettigrew 2017,,
Brandon Powell 2019,2.8333,0.0861
Brandon Stokley 2014,3.5,0.0836
Brandon Tate 2014,0.125,0.0037
Brandon Tate 2015,1.625,0.0499
Brandon Tate 2016,0.1875,0.0081
Brandon Tate 2017,0.8,0.0282
Brandon Tate 2018,1.0769,0.0303
Brandon Tate 2019,0.0,0.0
Brandon Wilds 2017,0.5,0.0167
Brandon Wilds 2019,0.0,0.0
Brandon Williams 2014,0.0,0.0
Brandon Williams 2015,0.5714,0.0156
Brandon Williams 2016,0.0,0.0
Brandon Williams 2017,0.1875,0.007
Brandon Williams 2018,1.5455,0.0543
Brandon Zylstra 2019,0.125,0.0037
Braxton Miller 2017,2.8,0.0807
Braxton Miller 2018,2.6364,0.0892
Brent Celek 2014,3.1875,0.1088
Brent Celek 2015,3.25,0.0878
Brent Celek 2016,2.1875,0.0574
Brent Celek 2017,1.2667,0.0383
Brent Celek 2018,1.5,0.0464
Brenton Bersin 2015,1.3333,0.0384
Brenton Bersin 2016,1.2222,0.0474
Brenton Bersin 2017,0.6667,0.022
Brenton Bersin 2018,1.75,0.0604
Breshad Perriman 2017,4.125,0.0963
Breshad Perriman 2018,3.1818,0.0992
Breshad Perriman 2019,2.5,0.0744
Brett Brackett 2015,0.0,0.0
Brian Hartline 2014,8.375,0.2303
Brian Hartline 2015,3.9375,0.108
Brian Hartline 2016,6.4167,0.1726
Brian Hill 2018,0.16665,0.0044
Brian Hill 2019,0.2222,0.0069
Brian Leonard 2014,2.3125,0.0787
Brian Leonard 2015,1.0,0.0244
Brian Leonhardt 2016,0.25,0.0089
Brian Parker 2016,0.25,0.0097
Brian Parker 2019,0.8333,0.0218
Brian Quick 2014,2.1875,0.0702
Brian Quick 2015,5.5714,0.1596
Brian Quick 2016,2.4615,0.077
Brian Quick 2017,4.8125,0.146
Brian Quick 2018,0.8,0.0253
Brian Quick 2019,0.5,0.0142
Brian Robiskie 2014,1.0,0.04
Brian Tyms 2015,1.0,0.0308
Brice Butler 2014,1.7,0.0672
Brice Butler 2015,2.3333,0.0618
Brice Butler 2016,3.7143,0.1092
Brice Butler 2017,2.0,0.0674
Brice Butler 2018,1.7692,0.06
Brice Butler 2019,1.0,0.039749999999999994
Brittan Golden 2014,1.75,0.0541
Brittan Golden 2016,0.0714,0.0023
Brittan Golden 2017,1.2727,0.0334
Brittan Golden 2018,0.6923,0.0186
Bronson Hill 2017,1.0,0.0256
Bronson Hill 2018,0.0,0.0
Bruce Ellington 2015,0.9231,0.0292
Bruce Ellington 2016,1.4615,0.0443
Bruce Ellington 2017,,
Bruce Ellington 2018,5.0909,0.1466
Bruce Ellington 2019,5.75,0.1811
Bruce Miller 2014,2.5714,0.1013
Bruce Miller 2015,1.5625,0.0634
Bruce Miller 2016,0.875,0.0241
Bryan Walters 2015,0.8462,0.0302
Bryan Walters 2016,4.0909,0.0995
Bryan Walters 2017,3.4,0.094
Bryce Brown 2014,0.8667,0.0272
Bryce Brown 2015,3.5714,0.1017
Bryce Brown 2016,0.6667,0.0198
Bryce Treggs 2017,1.3333,0.0338
Bryce Treggs 2018,3.0,0.0835
Buddy Howell 2019,0.0,0.0
Byron Marshall 2017,1.6667,0.0393
Byron Marshall 2018,2.0,0.0584
Byron Marshall 2019,1.0,0.0364
C.J. Anderson 2014,0.25,0.0074
C.J. Anderson 2015,2.9333,0.0683
C.J. Anderson 2016,2.4,0.0641
C.J. Anderson 2017,3.4286,0.1021
C.J. Anderson 2018,2.5,0.0756
C.J. Anderson 2019,1.66665,0.06520000000000001
C.J. Fiedorowicz 2015,0.4667,0.0146
C.J. Fiedorowicz 2016,1.5,0.0408
C.J. Fiedorowicz 2017,5.9333,0.1737
C.J. Fiedorowicz 2018,4.6,0.1247
C.J. Ham 2018,0.5,0.016
C.J. Ham 2019,1.0,0.0226
C.J. Prosise 2017,3.1667,0.0956
C.J. Prosise 2018,2.2,0.0516
C.J. Prosise 2019,0.6,0.0182
C.J. Spiller 2014,2.7333,0.0891
C.J. Spiller 2015,2.4444,0.0704
C.J. Spiller 2016,3.3846,0.0808
C.J. Spiller 2017,2.75,0.0819
C.J. Spiller 2018,2.0,0.0556
C.J. Uzomah 2016,0.2,0.0095
C.J. Uzomah 2017,3.8,0.1078
C.J. Uzomah 2018,1.0714,0.0351
C.J. Uzomah 2019,3.875,0.1173
Calvin Johnson 2014,11.1429,0.2841
Calvin Johnson 2015,9.8462,0.2677
Calvin Johnson 2016,9.3125,0.2404
Calvin Ridley 2019,5.75,0.1561
Cam Phillips 2019,0.5,0.0125
Cam Sims 2019,0.0,0.0
Cameron Artis-Payne 2016,0.7143,0.0227
Cameron Artis-Payne 2017,0.3333,0.0093
Cameron Artis-Payne 2018,0.0769,0.0026
Cameron Artis-Payne 2019,0.4444,0.0115
Cameron Batson 2019,1.1,0.0411
Cameron Brate 2015,0.2,0.0069
Cameron Brate 2016,2.1429,0.0621
Cameron Brate 2017,5.4,0.16
Cameron Brate 2018,4.8125,0.1293
Cameron Brate 2019,3.0625,0.0818
Cameron Meredith 2016,1.4545,0.0447
Cameron Meredith 2017,6.9286,0.1936
Cameron Meredith 2019,1.6667,0.054
Carlos Hyde 2015,1.1429,0.0348
Carlos Hyde 2016,2.1429,0.0676
Carlos Hyde 2017,2.5385,0.0814
Carlos Hyde 2018,5.5,0.1478
Carlos Hyde 2019,1.27085,0.0361
Cayleb Jones 2017,,
Cayleb Jones 2019,0.0,0.0
Cecil Shorts 2014,9.4615,0.2695
Cecil Shorts 2015,8.4615,0.2429
Cecil Shorts 2016,6.8182,0.1699
Cecil Shorts 2017,3.0,0.0856
Cedric Peerman 2014,0.0,0.0
Cedric Peerman 2015,0.3125,0.0098
Cedric Peerman 2016,0.0,0.0
Cedric Peerman 2017,0.1667,0.0067
Cethan Carter 2018,0.0625,0.0018
Chad Beebe 2019,1.3333,0.0529
Chad Hall 2014,0.7778,0.0224
Chad Hansen 2018,1.0667,0.0305
Chad Williams 2018,1.1667,0.0314
Chad Williams 2019,4.6,0.1535
Chandler Worthy 2016,1.3333,0.0284
Charcandrick West 2016,2.2667,0.079
Charcandrick West 2017,2.2667,0.0675
Charcandrick West 2018,2.6154,0.0781
Charcandrick West 2019,1.0,0.0256
Charles Clay 2014,6.375,0.175
Charles Clay 2015,6.0,0.16
Charles Clay 2016,5.9231,0.1958
Charles Clay 2017,5.8,0.2064
Charles Clay 2018,5.6923,0.2138
Charles Clay 2019,2.7692,0.0907
Charles Johnson 2015,5.3636,0.1751
Charles Johnson 2016,1.1818,0.0467
Charles Johnson 2017,2.3125,0.0616
Charles Sims 2015,3.375,0.1162
Charles Sims 2016,4.375,0.138
Charles Sims 2017,4.5714,0.1235
Charles Sims 2018,2.9375,0.0787
Charone Peake 2017,1.7857,0.0556
Charone Peake 2018,0.3333,0.0133
Charone Peake 2019,0.2308,0.0072
Chase Coffman 2014,0.2,0.0034
Chase Coffman 2015,1.0769,0.0388
Chase Coffman 2016,5.5,0.1673
Chase Coffman 2017,0.0,0.0
Chase Edmonds 2019,1.4375,0.0469
Chase Ford 2015,3.1818,0.0902
Chase Reynolds 2014,0.0,0.0
Chase Reynolds 2015,0.0,0.0
Chase Reynolds 2016,0.0,0.0
Chase Reynolds 2017,0.0667,0.0024
Chester Rogers 2017,2.5833,0.0725
Chester Rogers 2018,3.3636,0.1237
Chester Rogers 2019,4.5,0.1084
Chris Carson 2018,2.0,0.0614
Chris Carson 2019,1.7143,0.0723
Chris Conley 2016,1.9375,0.0592
Chris Conley 2017,4.3125,0.1306
Chris Conley 2018,3.2,0.1017
Chris Conley 2019,3.25,0.0881
Chris Givens 2014,5.1875,0.1698
Chris Givens 2015,1.5,0.0491
Chris Givens 2016,2.375,0.058649999999999994
Chris Godwin 2018,3.4375,0.0938
Chris Godwin 2019,5.9375,0.1554
Chris Gragg 2014,0.7778,0.0222
Chris Gragg 2015,1.0,0.0292
Chris Gragg 2016,1.5385,0.0464
Chris Gragg 2017,,
Chris Harper 2014,,
Chris Harper 2017,2.8571,0.105
Chris Herndon 2019,4.0,0.1178
Chris Hogan 2014,1.0625,0.0337
Chris Hogan 2015,3.8125,0.0978
Chris Hogan 2016,3.6875,0.1189
Chris Hogan 2017,3.8667,0.1156
Chris Hogan 2018,6.5556,0.1691
Chris Hogan 2019,3.3125,0.0969
Chris Ivory 2014,0.4667,0.0147
Chris Ivory 2015,1.6875,0.0516
Chris Ivory 2016,2.4667,0.0671
Chris Ivory 2017,2.5455,0.0688
Chris Ivory 2018,2.0,0.0591
Chris Ivory 2019,1.6154,0.0522
Chris Johnson 2014,3.25,0.0975
Chris Johnson 2015,2.125,0.0701
Chris Johnson 2016,1.1818,0.0333
Chris Johnson 2017,0.25,0.0056
Chris Johnson 2018,1.5,0.031
Chris Lacy 2019,1.0,0.0323
Chris Manhertz 2017,0.5,0.0122
Chris Manhertz 2018,0.4444,0.0153
Chris Manhertz 2019,0.3125,0.0098
Chris Matthews 2016,2.5,0.0638
Chris Matthews 2017,,
Chris Matthews 2018,1.0,0.0255
Chris Moore 2017,1.0667,0.0244
Chris Moore 2018,2.9231,0.075
Chris Moore 2019,1.5625,0.0494
Chris Ogbonnaya 2014,4.6875,0.1112
Chris Ogbonnaya 2015,0.1,0.00255
Chris Owusu 2014,2.2222,0.0712
Chris Owusu 2015,0.73335,0.02355
Chris Owusu 2016,4.3333,0.1469
Chris Pantale 2015,0.0,0.0
Chris Polk 2014,0.3333,0.0113
Chris Polk 2015,0.2143,0.0049
Chris Polk 2016,1.8667,0.0433
Chris Thompson 2014,0.0,0.0
Chris Thompson 2015,3.5,0.124
Chris Thompson 2016,3.6923,0.0972
Chris Thompson 2017,3.875,0.1029
Chris Thompson 2018,2.93075,0.08715
Chris Thompson 2019,5.0,0.1623
Chris Williams 2015,0.0,0.0
Christian Kirk 2019,5.6667,0.2152
Christian McCaffrey 2018,7.0625,0.2266
Christian McCaffrey 2019,7.75,0.227
Christine Michael 2014,0.0,0.0
Christine Michael 2015,0.2,0.0089
Christine Michael 2016,0.8,0.0258
Christine Michael 2017,1.69445,0.049350000000000005
Christine Michael 2019,0.0,0.0
Cierre Wood 2014,0.0,0.0
Cierre Wood 2016,0.5,0.0119
Clay Harbor 2014,2.1875,0.0604
Clay Harbor 2015,2.6923,0.0761
Clay Harbor 2016,1.3333,0.0358
Clay Harbor 2017,0.13635,0.0046
Clive Walford 2016,3.125,0.0921
Clive Walford 2017,3.4667,0.095
Clive Walford 2018,1.0,0.0265
Clive Walford 2019,0.0,0.0
Clyde Gates 2014,4.0,0.1199
